dataset,backbone,mode,node_drop_rate,accuracy,std,dropped_train_nodes_mean,observed_train_nodes_mean,sampled_recovered_train_nodes_mean,successful_recovered_train_nodes_mean,train_nodes_mean,sparse_edges_mean,added_edges_mean,edge_hit_rate_mean,node_hit_rate_mean,avg_added_degree_per_successful_mean,repair_time_sec_mean,train_time_sec_mean,total_time_sec_mean,peak_gpu_mem_mb_mean,num_runs,num_epochs,k_neighbors,recovery_ratio,max_edges_per_recovered_node,adaptive_threshold_alpha,edge_scorer_epochs,edge_scorer_hidden_dim,edge_scorer_prescreen_k
PubMed,sage,"Recovered Labels, No Edges",0.95,0.7580000162124634,0.03353605097482757,57.0,3.0,28.0,28.0,31.0,44073.0,0.0,0.0,0.0,0.0,0.0,2.221054366634538,2.221054366634538,267.39111328125,3,300,10,0.5,10,0.0,50,128,100
PubMed,sage,"Recovered Labels, Random Edges",0.95,0.7250000238418579,0.035898020784871414,57.0,3.0,28.0,28.0,31.0,44073.0,106.66666666666667,0.0,0.0,3.8095238095238098,0.026018733236317832,2.2312357000385723,2.25725443327489,267.59619140625,3,300,10,0.5,10,0.0,50,128,100
PubMed,sage,"Recovered Labels, Hadamard-MLP Edges",0.95,0.7610000371932983,0.035898020784871414,57.0,3.0,28.0,28.0,31.0,44073.0,106.66666666666667,0.07818490497618223,0.2142857142857143,3.8095238095238098,0.7220184666415056,2.2272519332667193,2.9492703999082246,267.59619140625,3,300,10,0.5,10,0.0,50,128,100
PubMed,sage,Ours: Recovered Labels + LLM Semantic Edges,0.95,0.7783333659172058,0.01673984263579612,57.0,3.0,28.0,28.0,31.0,44073.0,106.66666666666667,0.08738482585834612,0.2976190476190476,3.8095238095238098,0.04454490006901324,2.2231607999807843,2.2677057000497975,267.59619140625,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,"Recovered Labels, No Edges",0.75,0.6341858307520548,0.0011905600759685604,68205.0,22736.0,34102.0,34102.0,56838.0,379668.6666666667,0.0,0.0,0.0,0.0,0.0,14.93027316662483,14.93027316662483,1796.36767578125,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,"Recovered Labels, Random Edges",0.75,0.6123010317484537,0.002385359523531381,68205.0,22736.0,34102.0,34102.0,56838.0,379668.6666666667,122882.66666666667,7.866972990274231e-05,0.00028346333548374486,3.603385920669364,0.43017560003014904,18.325848799974967,18.756024400005117,2039.28857421875,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,"Recovered Labels, Hadamard-MLP Edges",0.75,0.6252014636993408,0.004156746197500009,68205.0,22736.0,34102.0,34102.0,56838.0,379668.6666666667,122882.66666666667,0.07713351975288807,0.20570641018122104,3.603385920669364,20.804094499985997,17.43709393334575,38.24118843333175,2039.28857421875,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,Ours: Recovered Labels + LLM Semantic Edges,0.75,0.6269640525182089,0.0006430649159155679,68205.0,22736.0,34102.0,34102.0,56838.0,379668.6666666667,122882.66666666667,0.08318243214305125,0.22661427482259108,3.603385920669364,7.755069366656244,17.414518933277577,25.16958829993382,2039.28857421875,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,"Recovered Labels, No Edges",0.85,0.6303726236025492,0.0034406533256325974,77299.0,13642.0,38649.0,38649.0,52291.0,304901.3333333333,0.0,0.0,0.0,0.0,0.0,14.195904966754219,14.195904966754219,1721.8644205729167,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,"Recovered Labels, Random Edges",0.85,0.6100995341936747,0.002476597918725311,77299.0,13642.0,38649.0,38649.0,52291.0,304901.3333333333,139396.33333333334,9.086757020270422e-05,0.00031911131810223635,3.6067254866447604,0.4525848333723843,18.136957633309066,18.58954246668145,1997.77685546875,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,"Recovered Labels, Hadamard-MLP Edges",0.85,0.6181168556213379,0.003243667716358607,77299.0,13642.0,38649.0,38649.0,52291.0,304901.3333333333,139396.33333333334,0.06843794563650775,0.1838253684873261,3.6067254866447604,21.589865433440234,17.116722500106942,38.706587933547176,1997.77685546875,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,Ours: Recovered Labels + LLM Semantic Edges,0.85,0.6258872946103414,0.0027577917759000676,77299.0,13642.0,38649.0,38649.0,52291.0,304901.3333333333,139396.33333333334,0.07383503052698127,0.20145411265491994,3.6067254866447604,8.294444900006056,17.099645933369175,25.39409083337523,1997.77685546875,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,"Recovered Labels, No Edges",0.95,0.6289186676343282,0.0008390031189742191,86393.0,4548.0,43196.0,43196.0,47744.0,240250.33333333334,0.0,0.0,0.0,0.0,0.0,13.574744133356338,13.574744133356338,1657.8126627604167,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,"Recovered Labels, Random Edges",0.95,0.6020273168881735,0.0018427395964641696,86393.0,4548.0,43196.0,43196.0,47744.0,240250.33333333334,126533.66666666667,8.429337382058858e-05,0.00024693644473253694,2.9292912924036174,0.39864956665163237,17.127679033360135,17.526328600011766,1907.7579752604167,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,"Recovered Labels, Hadamard-MLP Edges",0.95,0.6176436344782511,0.0015334746664878787,86393.0,4548.0,43196.0,43196.0,47744.0,240250.33333333334,126533.66666666667,0.06449157415837252,0.14883322529863877,2.9292912924036174,24.54324906660865,16.240471033301827,40.783720099910475,1907.7579752604167,3,300,10,0.5,10,0.0,50,128,100
ogbn-arxiv,sage,Ours: Recovered Labels + LLM Semantic Edges,0.95,0.6204418142636617,0.0003121684811798755,86393.0,4548.0,43196.0,43196.0,47744.0,240250.33333333334,126533.66666666667,0.06598543352406468,0.1530079945673982,2.9292912924036174,8.688169500014434,16.229375900079805,24.91754540009424,1907.7579752604167,3,300,10,0.5,10,0.0,50,128,100
